Arco_i Arco_j VecesRecorrido
============================
0 1 0
0 782 1
1 0 1
1 804 1
125 249 0
155 156 1
155 224 1
155 510 1
155 625 0
156 155 1
156 520 0
156 521 1
164 165 0
164 378 0
164 524 1
164 669 2
165 164 1
165 249 0
165 778 0
165 1094 1
224 225 1
224 511 1
225 224 0
225 508 1
249 125 1
249 165 1
249 282 0
249 822 0
282 249 1
282 283 1
282 369 0
283 282 0
283 613 0
283 778 1
283 837 1
361 511 1
366 596 1
369 282 2
378 164 2
378 383 0
378 957 0
382 383 0
382 804 1
383 378 1
383 382 1
383 524 0
401 524 1
401 783 0
402 625 1
402 669 0
406 407 0
406 720 1
406 800 1
406 1074 1
407 406 1
407 596 1
407 782 0
407 941 0
508 225 0
510 155 0
510 748 2
510 783 1
511 224 1
511 510 2
511 749 0
517 957 1
520 156 1
520 521 0
520 626 1
521 156 0
521 520 2
521 672 0
524 164 0
524 383 2
524 401 0
542 543 1
542 613 1
542 672 1
543 542 1
543 746 1
596 366 1
596 407 0
596 597 1
596 749 1
597 596 1
613 283 1
613 542 1
613 614 0
614 613 1
625 155 2
625 402 0
625 626 0
626 520 0
626 625 1
626 669 0
626 778 1
669 164 0
669 402 1
669 626 1
672 521 1
672 542 1
672 778 0
697 749 0
720 406 1
746 543 0
748 510 0
748 749 1
748 782 1
749 511 1
749 596 0
749 697 1
749 748 0
778 165 1
778 283 0
778 626 0
778 672 1
782 0 0
782 407 1
782 748 0
782 783 1
783 1 1
783 401 1
783 782 0
800 406 1
804 1 1
804 382 0
822 249 1
822 1095 0
837 283 0
941 407 1
941 1074 0
957 378 1
957 517 0
957 1094 1
971 1074 1
1074 406 0
1074 941 1
1074 971 1
1094 165 0
1094 957 1
1094 1095 1
1095 822 1
1095 1094 0
125 369 1
225 672 0
361 697 0
366 720 0
369 125 0
369 837 0
382 517 0
401 402 0
402 401 0
508 543 1
508 746 0
517 382 0
517 804 0
614 837 0
672 225 0
697 361 1
720 366 0
746 508 0
800 971 0
804 517 1
837 369 0
837 614 1
971 800 0
