Arco_i Arco_j VecesRecorrido
============================
786 843 1
801 800 1
805 809 0
805 897 1
809 805 1
843 786 1
843 857 1
843 900 0
857 843 0
857 932 1
894 809 1
894 897 1
897 805 0
897 894 0
897 900 1
897 977 1
900 843 1
900 897 0
900 985 1
932 857 0
932 983 1
977 897 0
977 978 2
977 1040 0
978 977 0
978 980 1
978 1041 1
980 978 0
980 1044 0
981 894 2
983 932 0
983 985 0
983 1016 2
985 900 1
985 983 1
985 1034 0
1016 983 0
1016 1048 2
1034 985 1
1034 1040 0
1034 1048 0
1034 1139 1
1040 977 1
1040 1034 1
1040 1041 0
1040 1888 0
1041 978 0
1041 1040 1
1041 1044 1
1044 980 1
1044 1041 1
1044 1045 0
1045 1044 1
1048 1016 0
1048 1034 1
1048 1138 1
1138 1048 0
1138 1139 1
1139 1034 0
1139 1888 2
1152 1045 1
1888 1040 1
1888 1152 1
1955 705 1
705 730 1
730 1917 0
763 766 0
766 763 0
766 786 1
766 800 0
786 801 1
786 805 0
800 1918 1
801 786 0
805 786 0
809 766 0
980 981 2
981 980 0
1045 981 0
1917 763 0
1918 705 0
1918 1955 1
