Arco_i Arco_j VecesRecorrido
============================
410 411 1
410 457 0
411 410 0
411 449 1
411 454 1
412 507 1
412 1933 1
413 412 2
413 429 0
429 413 1
429 467 1
429 1933 0
443 454 0
443 474 1
444 451 0
444 477 1
446 447 0
446 452 1
446 481 1
447 446 1
447 467 0
449 411 1
449 453 0
449 457 1
449 483 1
451 444 1
451 452 1
451 482 0
452 446 0
452 451 1
452 484 1
453 449 1
453 474 0
454 411 0
454 443 1
457 410 1
457 449 0
457 485 1
467 429 1
467 447 1
467 481 0
474 443 0
474 453 1
474 496 1
477 444 0
477 482 1
477 497 1
481 446 1
481 467 1
481 484 0
482 451 1
482 477 0
482 484 1
483 449 1
483 485 0
483 505 2
483 1898 0
484 452 0
484 481 1
484 482 0
484 502 1
485 457 1
485 483 1
485 505 0
496 474 1
496 497 1
496 524 0
496 1898 1
497 477 1
497 496 0
497 502 1
502 484 0
502 497 0
502 525 1
505 483 0
505 485 1
505 1899 1
507 412 0
524 496 2
524 525 0
524 1899 0
525 502 0
525 524 1
583 413 1
583 1932 0
599 600 1
600 599 1
600 616 1
612 617 0
612 1932 1
616 600 0
616 617 1
616 1932 1
617 612 1
617 616 1
617 647 0
635 638 1
638 635 0
638 647 1
647 617 1
647 638 0
647 651 1
647 677 0
650 651 0
650 658 1
651 647 0
651 650 1
658 650 1
663 672 0
672 663 1
672 677 0
677 647 1
677 672 1
677 706 0
695 699 1
699 695 0
699 701 2
699 767 0
701 699 0
701 703 1
701 735 1
703 701 0
703 706 1
706 677 2
706 703 0
706 738 0
706 1935 1
711 750 1
727 735 1
735 701 0
735 727 1
735 769 1
738 706 1
738 753 1
738 772 0
749 750 1
750 711 1
750 749 0
753 738 0
753 761 1
753 780 1
761 753 1
761 769 0
761 819 1
764 767 1
767 699 1
767 764 0
767 769 0
767 838 1
769 735 0
769 761 1
769 767 1
769 831 0
772 738 2
772 780 0
772 792 0
780 753 0
780 772 1
782 785 0
784 778 1
784 890 1
785 782 1
785 833 0
792 772 1
793 784 2
793 891 0
799 794 1
799 896 1
802 819 1
807 799 2
807 901 0
819 761 0
819 831 2
831 769 1
831 838 1
833 785 1
833 836 1
837 807 1
837 907 0
838 767 0
838 833 2
872 837 1
872 1906 0
873 925 1
878 873 1
878 924 0
887 890 1
890 784 0
890 887 0
890 891 2
891 793 1
891 890 0
891 892 1
892 891 0
892 896 2
892 939 0
896 799 0
896 892 0
896 901 2
896 940 1
901 807 1
901 896 0
901 907 1
907 837 1
907 901 0
921 929 1
924 878 1
924 925 0
924 976 1
925 873 0
925 924 2
925 984 0
929 921 1
929 1906 1
935 937 1
937 935 0
937 939 1
937 993 1
939 892 1
939 937 1
939 940 1
939 1051 0
940 896 0
940 939 1
940 943 1
943 940 0
943 946 1
943 1052 1
946 943 1
976 924 0
976 984 1
976 1025 1
984 925 1
984 976 0
991 993 0
993 937 0
993 991 1
995 1910 0
1025 976 1
1027 1911 1
1051 939 1
1052 943 0
1898 483 1
1898 496 0
1899 505 0
1899 524 1
1906 872 1
1906 929 0
1910 995 1
1910 1911 0
1911 1027 0
1911 1910 1
1932 583 1
1932 612 1
1932 616 0
1933 412 0
1933 429 1
1935 706 1
443 444 0
444 443 0
447 1933 0
453 454 0
453 1898 0
454 453 0
482 502 0
497 525 0
502 482 1
507 508 1
508 507 0
508 583 0
525 497 0
583 508 0
600 650 0
612 613 1
613 612 0
613 631 0
613 635 0
631 613 0
631 641 0
631 646 0
635 613 0
635 645 0
638 672 0
641 631 0
641 725 0
645 635 1
645 646 0
645 663 0
646 631 0
646 645 0
646 683 0
650 600 1
650 777 0
651 1935 0
658 776 0
663 645 0
663 684 1
672 638 0
672 703 0
683 646 0
683 684 0
684 663 0
684 683 0
684 695 1
695 684 0
695 711 0
703 672 0
703 727 0
708 711 0
708 724 0
711 695 0
711 708 0
724 708 0
724 725 0
724 749 0
725 641 0
725 724 0
727 703 0
727 753 0
749 724 0
749 782 0
750 764 1
753 727 0
764 750 0
764 785 0
776 658 0
776 790 0
777 650 0
777 790 0
777 1935 0
778 887 1
780 802 0
782 749 1
782 836 0
785 764 0
790 777 0
790 791 0
790 794 0
791 792 1
791 1935 0
792 802 0
794 790 0
794 793 1
802 780 0
802 837 0
833 873 0
836 782 0
836 875 1
837 802 1
873 833 0
873 872 0
875 836 0
875 878 0
887 778 0
887 935 0
907 921 0
921 907 0
921 946 0
929 995 0
935 887 0
935 991 0
946 921 0
946 1053 0
984 1026 0
991 935 1
995 929 1
1025 1026 0
1026 984 0
1026 1025 0
1026 1027 1
1027 1026 0
1051 1052 0
1052 1051 1
1052 1053 0
1053 946 0
1053 1052 0
1898 453 0
1898 1899 0
1899 1898 0
1906 1910 0
1910 1906 0
1933 447 0
1935 651 0
1935 777 0
1935 791 0
