Arco_i Arco_j VecesRecorrido
============================
993 1050 1
995 1107 1
1025 1026 1
1025 1084 0
1026 1025 0
1027 1089 1
1050 993 1
1050 1051 0
1050 1105 1
1051 1050 1
1051 1052 0
1052 1051 1
1053 1111 0
1084 1025 1
1084 1089 0
1084 1133 1
1089 1027 0
1089 1084 2
1089 1091 0
1091 1089 1
1091 1106 0
1091 1911 1
1104 1105 1
1105 1050 0
1105 1104 1
1105 1111 1
1106 1091 1
1106 1112 1
1106 1123 0
1107 995 1
1107 1112 1
1107 1160 1
1111 1053 1
1111 1105 0
1111 1161 1
1112 1106 1
1112 1107 1
1123 1106 1
1123 1140 1
1123 1172 0
1133 1084 0
1133 1140 1
1140 1123 1
1140 1133 0
1140 1215 1
1159 1161 0
1160 1107 1
1160 1172 1
1160 1184 0
1161 1111 1
1161 1159 1
1161 1169 0
1161 1191 1
1169 1161 1
1169 1184 0
1169 1227 1
1172 1123 1
1172 1160 0
1172 1200 1
1184 1160 1
1184 1169 1
1184 1200 0
1184 1228 0
1186 1191 1
1191 1161 1
1191 1186 0
1191 1232 1
1200 1172 1
1200 1184 1
1200 1215 0
1200 1240 1
1212 1213 1
1212 1217 1
1212 1327 0
1213 1212 0
1213 1328 1
1215 1140 0
1215 1200 1
1215 1320 0
1216 1217 0
1216 1329 2
1217 1212 1
1217 1216 1
1217 1330 0
1227 1169 1
1227 1228 0
1227 1244 1
1228 1184 1
1228 1227 1
1228 1236 0
1228 1282 0
1232 1191 0
1232 1237 1
1236 1228 1
1236 1240 1
1236 1288 0
1237 1232 1
1237 1244 1
1237 1346 0
1240 1200 1
1240 1236 0
1240 1313 1
1243 1306 1
1244 1227 0
1244 1237 0
1244 1282 1
1244 1297 1
1282 1228 1
1282 1244 0
1282 1288 1
1282 1321 0
1288 1236 2
1288 1282 0
1291 1313 0
1291 1337 1
1297 1244 0
1297 1321 2
1297 1347 0
1306 1243 0
1313 1240 0
1313 1291 1
1313 1320 0
1313 1412 1
1320 1215 1
1320 1313 1
1320 1329 0
1320 1421 0
1321 1282 1
1321 1297 0
1321 1337 0
1321 1369 2
1327 1212 1
1327 1328 0
1327 1330 1
1327 1478 1
1328 1213 0
1328 1327 1
1329 1216 0
1329 1320 1
1329 1330 1
1330 1217 1
1330 1327 1
1330 1329 0
1336 1349 1
1337 1291 1
1337 1321 1
1337 1401 0
1346 1237 1
1346 1347 1
1347 1297 1
1347 1346 1
1347 1357 0
1347 1420 1
1349 1336 0
1357 1347 1
1357 1369 0
1369 1321 0
1369 1357 1
1369 1400 1
1400 1369 0
1400 1401 1
1401 1337 1
1401 1400 0
1412 1313 0
1420 1347 1
1421 1320 1
1478 1327 1
1911 1091 1
1026 1027 1
1027 1026 0
1027 1911 0
1052 1053 0
1053 1052 1
1089 1140 0
1104 1159 0
1140 1089 0
1159 1104 0
1159 1186 1
1186 1159 0
1215 1216 1
1216 1215 0
1232 1243 1
1243 1232 0
1288 1291 0
1291 1288 1
1306 1336 1
1336 1306 0
1346 1349 0
1349 1346 1
1412 1421 1
1421 1412 0
1911 1027 0
