Arco_i Arco_j VecesRecorrido
============================
1360 1451 1
1426 1443 1
1426 1534 0
1443 1426 0
1443 1444 1
1444 1443 0
1444 1894 1
1447 1450 1
1447 1592 0
1450 1447 0
1450 1591 1
1451 1360 1
1451 1455 1
1455 1451 0
1455 1463 1
1463 1455 0
1463 1474 1
1474 1463 0
1474 1605 1
1529 1534 1
1529 1580 0
1534 1426 1
1534 1529 0
1534 1575 1
1575 1534 1
1575 1894 1
1580 1529 1
1580 1583 0
1580 1615 1
1583 1580 1
1583 1611 0
1591 1450 1
1591 1592 1
1591 1605 1
1591 1639 0
1592 1447 1
1592 1591 0
1592 1701 0
1592 1894 1
1605 1474 0
1605 1591 0
1605 1654 2
1605 1893 1
1611 1583 1
1611 1632 0
1615 1580 1
1615 1626 0
1615 1688 1
1626 1615 1
1626 1684 0
1632 1611 1
1632 1697 1
1632 1894 0
1639 1591 2
1639 1654 0
1639 1704 0
1654 1605 0
1654 1639 1
1654 1709 1
1684 1626 1
1684 1688 0
1684 1697 1
1684 1719 0
1688 1615 0
1688 1684 1
1688 1721 1
1697 1632 0
1697 1684 0
1697 1701 1
1697 1741 1
1701 1592 1
1701 1697 0
1701 1704 0
1701 1784 1
1704 1639 1
1704 1701 1
1704 1705 0
1704 1781 0
1705 1704 1
1705 1707 0
1705 1780 1
1707 1705 2
1707 1709 0
1707 1779 0
1709 1654 0
1709 1707 1
1709 1712 0
1709 1776 1
1712 1709 1
1719 1684 1
1719 1721 1
1719 1741 0
1721 1688 1
1721 1719 0
1721 1748 1
1741 1697 0
1741 1719 1
1741 1763 1
1745 1748 0
1748 1721 0
1748 1745 1
1748 1789 1
1751 1763 0
1751 1786 1
1763 1741 1
1763 1751 1
1763 1788 0
1775 1776 0
1776 1709 0
1776 1775 1
1776 1779 1
1779 1707 1
1779 1776 1
1779 1780 0
1780 1705 0
1780 1779 1
1780 1781 1
1781 1704 1
1781 1780 1
1781 1784 0
1784 1701 0
1784 1781 1
1784 1788 1
1786 1751 0
1786 1789 1
1788 1763 1
1788 1784 1
1788 1817 0
1789 1748 1
1789 1786 0
1817 1788 1
1817 1818 0
1818 1817 1
1893 1605 1
1894 1444 0
1894 1575 1
1894 1592 0
1894 1632 2
1444 1447 0
1447 1444 0
1450 1451 1
1451 1450 0
1474 1478 0
1478 1474 0
1575 1583 0
1583 1575 0
1611 1626 0
1626 1611 0
1712 1775 0
1712 1893 0
1719 1745 0
1745 1719 1
1745 1751 0
1751 1745 0
1775 1712 1
1775 1805 0
1776 1807 0
1779 1811 0
1780 1812 0
1781 1813 0
1784 1816 0
1786 1818 0
1789 1819 0
1805 1775 0
1805 1807 0
1807 1776 0
1807 1805 0
1807 1811 0
1811 1779 0
1811 1807 0
1811 1812 0
1812 1780 0
1812 1811 0
1812 1813 0
1813 1781 0
1813 1812 0
1813 1816 0
1816 1784 0
1816 1813 0
1816 1817 0
1817 1816 0
1818 1786 0
1818 1819 0
1818 1821 0
1819 1789 0
1819 1818 0
1819 1821 0
1821 1818 0
1821 1819 0
1893 1712 0
