Arco_i Arco_j VecesRecorrido
============================
307 314 0
307 334 1
308 323 1
313 314 1
313 382 0
313 507 1
314 307 1
314 313 1
314 339 0
323 308 0
323 324 1
323 347 1
324 323 0
334 307 0
334 339 2
334 404 0
339 314 1
339 334 0
339 374 1
342 347 0
347 323 1
347 342 1
347 368 0
363 368 1
368 347 1
368 363 0
368 389 1
374 339 0
374 382 2
374 404 0
382 313 1
382 374 0
382 385 1
382 462 1
385 382 1
385 469 0
385 480 1
386 389 0
389 368 1
389 386 1
389 1934 0
404 334 1
404 374 1
404 1896 0
441 442 0
441 510 1
441 1896 1
442 441 1
442 458 1
442 510 0
458 442 0
458 532 1
462 382 0
462 544 0
462 1896 1
469 385 1
469 480 0
469 546 1
480 385 0
480 469 1
480 501 0
480 553 1
501 480 1
501 519 0
501 586 1
507 313 0
507 508 1
508 507 0
508 583 1
510 441 0
510 442 2
510 536 0
519 501 2
519 586 0
532 458 0
532 536 1
536 510 1
536 532 0
536 539 1
539 536 1
539 544 1
539 609 0
539 1896 1
544 462 1
544 539 1
544 629 0
546 469 0
546 553 1
546 634 1
553 480 0
553 546 1
553 640 1
583 508 1
586 501 0
586 519 1
586 665 1
609 539 1
609 623 0
613 631 1
620 623 0
621 709 1
623 609 1
623 620 1
623 629 0
623 694 0
629 544 1
629 623 1
629 634 0
631 613 1
631 641 1
634 546 0
634 629 2
634 640 0
640 553 0
640 634 1
641 631 1
641 654 0
641 725 1
645 646 1
646 645 1
646 683 1
654 641 1
654 674 1
654 722 0
665 586 1
665 667 1
667 665 1
667 694 1
674 654 1
674 686 1
674 723 0
683 646 1
683 684 1
683 708 1
684 683 1
686 674 0
686 719 1
694 623 1
694 667 1
694 709 0
708 683 1
708 711 1
709 621 0
709 694 1
711 708 1
716 718 2
716 741 0
716 826 0
718 716 0
718 721 2
719 686 0
719 721 0
719 723 1
719 830 1
721 718 0
721 719 1
721 827 1
722 654 1
722 723 0
722 725 1
722 834 0
723 674 1
723 719 0
723 722 1
723 832 0
724 725 0
724 749 1
725 641 0
725 722 0
725 724 1
725 835 1
741 716 1
741 760 0
741 825 1
749 724 0
749 782 1
760 741 1
760 824 0
782 749 0
782 836 1
824 760 1
825 741 1
825 824 1
826 716 1
826 825 1
827 721 0
827 826 2
830 719 0
830 827 1
832 723 1
834 722 1
834 832 1
835 725 0
835 834 2
836 782 0
836 835 1
863 865 1
863 953 0
865 866 2
865 954 0
866 868 1
866 957 1
868 869 1
868 955 1
869 871 2
869 956 0
870 874 2
870 959 0
871 870 1
871 958 1
874 876 1
874 961 1
875 878 1
875 922 0
876 962 1
922 875 1
922 924 0
922 964 1
924 922 1
953 863 1
953 954 0
953 1070 1
954 865 1
954 953 1
954 957 0
954 1072 0
955 868 1
955 956 0
955 957 1
955 1074 1
956 869 1
956 955 1
956 958 0
956 1076 0
957 866 0
957 954 1
957 955 0
957 1073 1
958 871 0
958 956 1
958 959 0
958 1077 1
959 870 1
959 958 1
959 961 0
959 1083 0
961 874 0
961 959 1
961 962 0
961 1085 1
962 876 0
962 961 1
962 964 1
962 1082 1
964 922 1
964 962 1
971 976 1
971 1024 1
976 971 1
1024 971 1
1070 953 1
1072 954 1
1073 957 0
1074 955 1
1076 956 1
1077 958 0
1082 962 1
1083 959 1
1085 961 0
1896 404 2
1896 441 1
1896 462 0
1896 539 0
1934 389 1
307 308 0
308 307 0
308 1844 0
324 342 0
324 1845 1
342 324 0
342 363 1
363 342 0
386 1934 1
462 469 1
469 462 0
508 519 1
519 508 0
544 546 0
546 544 0
609 620 0
620 609 0
620 621 1
621 620 0
631 646 0
640 665 0
646 631 0
665 640 0
667 716 0
686 718 0
708 724 0
716 667 0
718 686 0
724 708 0
826 868 0
832 830 0
836 875 0
868 826 0
875 836 0
876 875 0
878 924 1
924 878 0
924 976 0
964 971 0
971 964 0
976 924 0
1072 1073 0
1073 1072 1
1073 1074 0
1074 1073 0
1074 1076 0
1076 1074 0
1076 1077 0
1077 1076 1
1082 1085 0
1083 1085 0
1085 1082 0
1085 1083 1
1839 1845 0
1844 308 1
1844 1839 0
1845 324 0
1845 1839 0
1845 1844 0
1934 386 0
