Arco_i Arco_j VecesRecorrido
============================
75 76 1
75 119 1
75 450 0
76 75 0
76 266 1
76 284 1
118 458 1
118 550 2
119 75 1
119 118 1
123 825 0
123 850 1
154 344 1
154 435 1
191 215 1
214 568 1
215 214 1
215 474 0
215 767 1
258 259 0
258 435 1
258 928 1
259 258 1
259 287 0
259 784 1
266 76 0
284 411 1
284 495 1
285 474 0
287 259 1
287 379 0
287 891 1
299 549 2
299 615 0
326 153 1
326 344 2
344 118 2
344 345 1
345 435 0
345 450 1
345 630 1
379 287 1
379 380 0
379 780 1
380 379 1
380 410 1
380 759 0
387 326 1
410 411 1
410 495 1
411 759 2
435 154 1
435 258 0
435 345 1
450 75 1
450 119 1
450 345 0
458 326 2
470 376 1
470 849 1
474 215 1
474 285 1
474 601 0
495 450 1
495 630 1
549 458 1
549 550 1
550 76 1
550 615 2
561 259 1
568 850 1
601 474 2
601 853 0
601 900 0
615 299 2
630 258 1
630 784 1
735 284 1
759 380 1
759 1010 1
767 215 0
780 781 2
781 380 1
781 1010 1
784 379 1
784 410 1
825 123 1
850 849 2
853 601 1
891 287 0
891 780 1
900 601 1
1011 900 1
62 153 0
62 387 1
121 637 0
123 124 0
124 767 0
124 813 0
153 62 0
153 154 1
154 153 0
191 767 0
214 569 0
266 615 0
266 735 1
285 853 1
286 287 1
286 469 0
286 561 0
287 286 0
374 375 0
374 637 0
375 374 0
375 813 0
375 849 0
376 121 1
387 62 0
469 286 0
469 470 2
469 891 0
470 469 0
561 286 0
561 928 0
569 568 0
569 781 0
615 266 0
637 121 0
637 374 0
735 266 0
767 124 0
767 191 1
813 124 0
813 375 0
813 825 1
825 813 0
849 375 3
853 285 0
928 561 1
1010 1011 2
1011 569 1
1011 1010 0
