Arco_i Arco_j VecesRecorrido
============================
28 794 1
41 254 1
43 44 1
44 181 1
44 898 1
69 87 0
69 200 3
70 69 2
70 530 0
85 86 1
85 751 0
85 887 1
86 85 1
86 559 0
86 902 1
87 69 1
87 88 0
87 439 1
88 87 1
88 217 0
88 529 0
88 530 1
139 140 1
139 319 1
139 648 0
140 139 1
140 254 1
140 352 0
181 403 0
181 1055 2
198 948 1
200 43 1
200 824 1
216 217 0
216 403 1
216 494 1
216 824 0
217 88 1
217 216 1
217 439 0
217 449 0
254 41 1
254 140 0
254 255 1
254 463 1
255 254 1
255 352 0
255 866 1
318 319 0
319 139 0
319 318 1
319 648 1
319 918 1
352 140 1
352 255 1
352 353 0
352 918 0
353 352 1
353 866 0
353 959 1
384 385 1
384 451 0
384 948 1
385 384 1
403 181 1
403 216 0
403 404 0
403 898 1
404 403 1
404 494 1
404 1055 0
419 743 0
439 87 1
439 217 1
439 824 0
449 217 1
449 463 1
449 494 0
451 384 1
451 619 0
463 254 0
463 449 1
463 496 0
463 529 2
494 216 0
494 404 1
494 449 1
496 463 1
496 1053 0
529 88 1
529 463 0
529 530 1
530 70 1
530 88 0
530 529 0
530 743 1
559 86 1
559 766 0
559 889 1
575 751 1
575 970 0
576 765 1
608 648 1
619 451 1
619 867 1
648 139 1
648 319 1
648 608 0
648 743 1
671 756 1
671 765 1
743 419 1
743 530 0
743 648 1
751 85 1
751 575 0
751 766 1
756 671 1
765 576 0
765 671 1
765 766 1
766 559 1
766 751 1
766 765 0
794 28 1
794 1056 1
824 216 1
824 439 1
824 898 0
866 255 0
866 353 2
866 887 0
887 85 0
887 866 1
887 888 0
887 970 1
888 887 1
889 559 1
889 890 0
889 902 1
890 889 1
898 44 1
898 403 0
898 824 1
902 86 0
902 888 1
902 922 1
918 319 1
918 352 1
922 902 0
948 384 0
948 619 2
959 353 0
959 970 1
970 575 1
970 887 0
970 959 1
984 814 1
1053 496 1
1054 1056 1
1055 404 1
1055 1053 1
1056 198 1
1056 794 1
27 28 0
27 417 0
28 27 0
42 81 0
43 198 0
81 82 0
82 634 0
82 888 0
136 385 0
136 452 0
200 984 1
201 202 0
201 496 0
202 42 0
202 201 0
204 205 0
204 922 0
205 204 0
205 634 0
318 608 1
346 385 0
346 417 0
385 136 0
385 346 0
417 27 0
417 346 0
419 70 1
442 794 0
442 1054 1
451 452 0
452 136 0
452 451 0
452 546 0
475 1090 0
496 201 0
546 452 0
546 867 0
575 576 0
576 575 0
576 670 0
608 419 0
634 205 0
670 576 1
670 671 0
671 670 0
689 690 0
690 988 0
738 689 0
794 442 0
814 738 1
867 475 1
867 546 0
888 41 0
888 82 0
890 922 0
918 959 0
922 204 0
922 890 1
959 918 1
984 200 0
988 989 0
989 318 0
989 988 0
1053 1054 0
1054 442 0
1054 1053 0
1055 1056 0
1056 1055 0
1090 475 0
1090 984 0
