Arco_i Arco_j VecesRecorrido
============================
465 554 1
466 479 1
470 478 0
470 526 1
471 499 1
471 530 0
475 479 0
478 470 1
478 529 1
478 1944 0
479 466 1
479 475 1
479 517 0
499 471 0
499 517 2
499 543 0
517 479 1
517 499 0
517 526 1
526 470 0
526 517 0
526 529 1
526 564 1
529 478 1
529 526 0
529 535 1
530 471 1
530 531 0
530 543 0
530 605 1
531 530 1
531 592 0
535 529 0
535 554 0
535 593 1
535 1944 1
543 499 1
543 530 1
543 564 0
543 615 0
550 596 1
554 465 1
554 535 1
554 596 1
554 696 0
564 526 0
564 543 1
564 593 1
564 627 0
591 592 1
591 605 0
591 649 1
592 531 1
592 591 1
592 649 0
593 535 0
593 564 0
593 606 1
593 687 1
596 550 1
596 554 0
596 653 1
605 530 0
605 591 1
605 670 1
606 593 0
606 689 1
606 693 1
615 543 1
615 605 1
615 676 0
627 564 1
627 615 1
649 591 0
649 592 1
653 596 0
653 655 1
653 696 1
653 702 1
655 653 1
670 605 0
670 676 2
676 615 1
676 742 1
676 1901 1
679 680 1
680 679 1
687 593 0
687 689 1
687 1901 1
689 606 1
689 687 1
689 692 1
692 689 1
693 606 0
693 698 1
696 554 2
696 653 0
696 697 0
697 696 1
697 698 0
698 693 0
698 697 1
700 702 1
702 653 1
702 700 1
742 676 1
1901 627 2
1901 687 0
1944 478 1
1944 535 0
466 470 0
468 475 0
468 499 0
470 466 0
475 468 1
499 468 0
649 680 0
670 726 0
680 649 0
692 693 0
693 692 0
697 700 0
700 697 0
726 670 1
