Arco_i Arco_j VecesRecorrido
============================
96 97 0
96 110 1
97 96 1
97 222 0
97 241 1
97 663 0
110 178 1
110 745 1
120 337 1
178 484 2
222 97 1
222 246 1
222 279 0
233 234 0
233 288 1
233 333 1
233 338 1
234 233 1
241 97 0
241 242 0
241 551 0
241 649 3
242 241 1
246 787 1
268 269 1
268 429 0
269 268 0
269 462 1
279 222 1
279 281 0
279 787 1
281 279 1
281 288 0
288 233 0
288 281 1
288 337 1
333 233 1
333 334 1
333 787 0
333 935 1
334 333 0
337 120 0
337 288 1
337 338 1
338 233 1
338 337 0
338 462 1
338 513 1
359 425 1
359 821 1
425 359 0
425 515 1
429 268 1
462 269 0
462 338 1
462 833 1
481 482 1
481 663 1
482 481 0
482 658 2
513 338 0
515 425 0
516 359 1
551 241 1
551 777 1
551 935 0
649 241 0
649 481 2
649 686 1
658 178 1
658 663 1
663 97 1
663 110 1
663 658 0
686 482 1
686 649 0
705 222 1
776 935 1
787 246 0
787 279 0
787 333 2
821 359 1
821 429 1
833 462 0
935 333 0
935 551 2
935 776 0
96 106 0
98 99 0
98 695 0
98 833 0
99 98 0
99 120 0
99 389 0
106 96 0
106 107 0
106 490 0
107 106 0
107 745 0
120 99 0
120 281 0
120 833 0
234 334 0
234 513 0
242 777 0
246 551 0
269 513 0
279 704 0
281 120 0
334 234 0
334 776 1
389 99 0
389 390 0
390 389 0
390 704 0
429 516 0
484 868 2
489 490 0
489 705 1
490 106 0
490 489 0
513 234 1
513 269 0
515 516 1
516 429 0
516 515 0
695 98 0
695 821 1
704 279 1
704 390 0
704 705 0
705 704 0
745 107 0
745 868 1
776 334 0
776 777 0
777 242 1
777 776 0
833 98 0
833 120 1
868 745 0
