Arco_i Arco_j VecesRecorrido
============================
102 103 0
102 533 0
102 815 2
103 102 1
103 599 1
121 122 1
121 637 0
122 693 1
122 892 1
123 124 1
124 532 1
124 813 1
135 633 1
252 103 2
252 294 1
293 477 0
293 815 1
293 874 1
294 293 1
294 632 1
374 375 1
374 637 1
374 847 0
375 374 1
375 768 0
375 813 1
375 849 1
397 398 0
397 661 1
397 847 1
398 397 1
398 661 0
398 832 1
398 885 0
477 293 1
477 478 0
477 632 1
478 477 1
478 795 0
505 860 1
518 636 1
518 795 1
519 633 0
532 533 2
532 769 0
533 102 1
533 599 1
599 860 2
632 134 1
632 633 1
633 135 1
633 519 1
636 518 1
637 121 1
637 374 0
637 892 1
661 397 0
661 398 1
661 1035 1
693 122 1
768 375 1
768 769 0
768 847 1
769 532 1
769 768 1
769 832 0
769 852 0
771 795 1
795 478 1
795 518 0
795 771 1
813 124 1
813 375 0
813 825 1
815 102 0
815 293 0
815 852 2
815 885 1
825 813 0
827 294 1
832 398 0
832 769 1
832 847 1
832 852 0
847 374 1
847 397 1
847 768 1
847 832 0
849 375 1
852 769 1
852 815 0
852 832 1
860 252 3
873 874 1
873 885 1
874 873 1
874 972 1
885 398 1
885 815 0
885 873 1
892 637 1
892 1034 1
972 477 1
972 874 0
1035 661 1
123 825 0
134 135 0
134 827 1
478 519 0
505 674 0
505 827 0
518 519 0
519 478 0
519 518 1
532 674 0
636 771 0
674 505 1
674 532 0
764 1034 0
771 636 0
771 972 0
825 123 1
827 134 0
827 505 0
972 771 0
1034 764 1
1034 1035 0
1035 1034 0
