Arco_i Arco_j VecesRecorrido
============================
38 464 1
45 577 1
68 158 2
94 457 1
157 158 0
158 157 1
158 464 1
161 162 0
161 631 1
162 161 1
162 580 1
166 167 1
166 919 1
167 514 0
192 162 1
192 631 0
192 845 3
213 310 1
220 221 3
220 399 0
221 220 0
221 456 2
221 514 1
221 534 1
232 213 1
232 734 1
310 213 0
310 734 2
330 232 1
399 220 2
399 750 0
456 221 0
456 310 1
456 457 1
456 861 1
457 456 0
457 514 1
464 166 1
464 677 1
514 167 1
514 221 0
514 919 1
534 221 1
577 45 0
577 94 1
580 162 1
631 161 0
631 192 4
631 659 0
659 631 3
676 750 1
677 399 1
677 676 1
734 45 2
734 232 1
750 399 1
750 676 0
845 192 0
845 924 3
861 456 1
919 220 1
919 677 1
924 68 2
924 166 1
38 157 0
45 330 1
94 95 0
95 94 0
95 161 0
95 586 0
157 38 1
161 95 0
162 622 0
167 659 2
213 861 0
330 45 0
457 659 1
578 577 0
578 586 0
586 578 0
586 760 0
622 760 0
659 95 0
659 457 0
760 586 0
