Arco_i Arco_j VecesRecorrido
============================
598 599 1
598 601 0
598 1881 1
599 598 0
599 626 1
601 598 1
626 599 0
626 657 2
626 1881 0
657 626 0
657 658 1
657 664 1
657 744 1
658 657 1
664 657 0
664 734 1
668 731 0
668 1881 1
705 610 1
730 731 1
731 668 1
734 664 0
734 744 1
744 657 0
754 757 1
754 779 1
755 787 0
757 781 1
763 895 1
773 797 1
778 773 1
778 887 0
779 754 1
779 781 0
779 796 1
781 757 0
781 779 1
781 795 1
787 755 1
787 797 1
787 840 0
795 781 1
795 796 1
795 821 0
796 779 0
796 795 0
796 822 2
797 773 0
797 787 0
797 842 2
821 795 1
821 822 0
821 846 1
822 796 0
822 821 1
822 845 1
840 787 2
840 842 0
840 882 0
842 797 0
842 840 1
842 882 1
845 822 0
845 846 1
845 1889 1
846 821 1
846 845 0
846 867 1
867 846 0
867 899 2
867 1889 0
882 840 1
882 842 0
882 902 1
887 778 1
887 935 0
895 899 0
895 1042 1
899 867 0
899 895 1
899 903 1
899 941 1
902 882 1
902 903 0
902 927 1
903 899 0
903 902 1
903 942 0
903 1889 1
927 902 0
927 928 2
927 1029 0
928 927 0
928 935 1
928 989 1
935 887 1
935 928 0
935 991 1
941 899 1
941 942 0
941 986 1
942 903 1
942 941 1
942 987 0
986 941 0
986 987 1
986 1017 1
987 942 2
987 986 0
987 1018 0
989 928 0
989 990 1
989 1032 1
990 989 1
990 991 1
990 1103 1
991 935 1
991 990 1
991 1104 1
1017 986 1
1017 1018 1
1017 1039 0
1018 987 1
1018 1017 0
1018 1043 1
1029 927 1
1029 1032 0
1032 989 0
1032 1029 1
1039 1017 1
1042 1046 1
1043 1018 1
1103 990 1
1104 991 1
1881 598 1
1881 626 1
1881 668 0
1889 845 1
1889 867 1
1889 903 0
601 610 0
601 730 0
610 601 1
658 776 0
664 668 0
668 664 0
705 730 1
730 1917 0
731 734 0
731 755 0
744 768 2
744 776 0
754 1917 0
755 731 0
755 754 1
757 763 0
763 766 0
766 763 1
768 744 0
768 755 0
773 768 0
776 658 0
894 895 0
895 894 1
981 894 0
981 1042 0
1039 1043 0
1039 1046 0
1042 981 0
1043 1039 0
1046 1039 1
1917 763 0
1917 1918 0
1918 705 2
